period,precinct_norm,selection_type,selection_name,weekday,time_block,incident_count,neighborhood_scope
YTD,ALL,Crime Type,EXTORTION,Tuesday,12:00-17:59,1,ALL
YTD,ALL,Crime Type,EXTORTION,Tuesday,18:00-23:59,4,ALL
YTD,ALL,Crime Type,EXTORTION,Wednesday,00:00-05:59,3,ALL
YTD,ALL,Crime Type,EXTORTION,Wednesday,06:00-11:59,3,ALL
YTD,ALL,Crime Type,EXTORTION,Wednesday,12:00-17:59,7,ALL
YTD,ALL,Crime Type,EXTORTION,Wednesday,18:00-23:59,1,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Friday,00:00-05:59,11,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Friday,06:00-11:59,15,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Friday,12:00-17:59,33,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Friday,18:00-23:59,23,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Monday,00:00-05:59,16,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Monday,06:00-11:59,19,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Monday,12:00-17:59,27,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Monday,18:00-23:59,24,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Saturday,00:00-05:59,18,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Saturday,06:00-11:59,19,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Saturday,12:00-17:59,39,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Saturday,18:00-23:59,31,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Sunday,00:00-05:59,14,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Sunday,06:00-11:59,12,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Sunday,12:00-17:59,28,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Sunday,18:00-23:59,30,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Thursday,00:00-05:59,14,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Thursday,06:00-11:59,21,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Thursday,12:00-17:59,33,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Thursday,18:00-23:59,33,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Tuesday,00:00-05:59,14,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Tuesday,06:00-11:59,16,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Tuesday,12:00-17:59,35,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Tuesday,18:00-23:59,40,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Wednesday,00:00-05:59,10,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Wednesday,06:00-11:59,16,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Wednesday,12:00-17:59,35,ALL
YTD,ALL,Crime Type,FAMILY OFFENSE,Wednesday,18:00-23:59,27,ALL
YTD,ALL,Crime Type,FORGERY,Friday,00:00-05:59,1,ALL
YTD,ALL,Crime Type,FORGERY,Friday,06:00-11:59,4,ALL
YTD,ALL,Crime Type,FORGERY,Friday,12:00-17:59,4,ALL
YTD,ALL,Crime Type,FORGERY,Friday,18:00-23:59,3,ALL
YTD,ALL,Crime Type,FORGERY,Monday,06:00-11:59,3,ALL
YTD,ALL,Crime Type,FORGERY,Monday,12:00-17:59,6,ALL
YTD,ALL,Crime Type,FORGERY,Monday,18:00-23:59,1,ALL
YTD,ALL,Crime Type,FORGERY,Saturday,06:00-11:59,2,ALL
YTD,ALL,Crime Type,FORGERY,Saturday,12:00-17:59,2,ALL
YTD,ALL,Crime Type,FORGERY,Saturday,18:00-23:59,5,ALL
YTD,ALL,Crime Type,FORGERY,Sunday,00:00-05:59,1,ALL
YTD,ALL,Crime Type,FORGERY,Sunday,06:00-11:59,3,ALL
YTD,ALL,Crime Type,FORGERY,Sunday,12:00-17:59,1,ALL
YTD,ALL,Crime Type,FORGERY,Sunday,18:00-23:59,1,ALL
YTD,ALL,Crime Type,FORGERY,Thursday,00:00-05:59,2,ALL
YTD,ALL,Crime Type,FORGERY,Thursday,06:00-11:59,1,ALL
YTD,ALL,Crime Type,FORGERY,Thursday,12:00-17:59,2,ALL
YTD,ALL,Crime Type,FORGERY,Thursday,18:00-23:59,3,ALL
YTD,ALL,Crime Type,FORGERY,Tuesday,06:00-11:59,2,ALL
YTD,ALL,Crime Type,FORGERY,Tuesday,12:00-17:59,5,ALL
YTD,ALL,Crime Type,FORGERY,Tuesday,18:00-23:59,2,ALL
YTD,ALL,Crime Type,FORGERY,Wednesday,00:00-05:59,1,ALL
YTD,ALL,Crime Type,FORGERY,Wednesday,06:00-11:59,4,ALL
YTD,ALL,Crime Type,FORGERY,Wednesday,12:00-17:59,11,ALL
YTD,ALL,Crime Type,FORGERY,Wednesday,18:00-23:59,5,ALL
YTD,ALL,Crime Type,FRAUD,Friday,00:00-05:59,78,ALL
YTD,ALL,Crime Type,FRAUD,Friday,06:00-11:59,182,ALL
YTD,ALL,Crime Type,FRAUD,Friday,12:00-17:59,303,ALL
YTD,ALL,Crime Type,FRAUD,Friday,18:00-23:59,148,ALL
YTD,ALL,Crime Type,FRAUD,Monday,00:00-05:59,74,ALL
YTD,ALL,Crime Type,FRAUD,Monday,06:00-11:59,173,ALL
YTD,ALL,Crime Type,FRAUD,Monday,12:00-17:59,360,ALL
YTD,ALL,Crime Type,FRAUD,Monday,18:00-23:59,130,ALL
YTD,ALL,Crime Type,FRAUD,Saturday,00:00-05:59,66,ALL
YTD,ALL,Crime Type,FRAUD,Saturday,06:00-11:59,158,ALL
YTD,ALL,Crime Type,FRAUD,Saturday,12:00-17:59,243,ALL
YTD,ALL,Crime Type,FRAUD,Saturday,18:00-23:59,118,ALL
YTD,ALL,Crime Type,FRAUD,Sunday,00:00-05:59,75,ALL
YTD,ALL,Crime Type,FRAUD,Sunday,06:00-11:59,149,ALL
YTD,ALL,Crime Type,FRAUD,Sunday,12:00-17:59,248,ALL
YTD,ALL,Crime Type,FRAUD,Sunday,18:00-23:59,107,ALL
YTD,ALL,Crime Type,FRAUD,Thursday,00:00-05:59,91,ALL
YTD,ALL,Crime Type,FRAUD,Thursday,06:00-11:59,220,ALL
YTD,ALL,Crime Type,FRAUD,Thursday,12:00-17:59,353,ALL
YTD,ALL,Crime Type,FRAUD,Thursday,18:00-23:59,123,ALL
YTD,ALL,Crime Type,FRAUD,Tuesday,00:00-05:59,71,ALL
YTD,ALL,Crime Type,FRAUD,Tuesday,06:00-11:59,199,ALL
YTD,ALL,Crime Type,FRAUD,Tuesday,12:00-17:59,361,ALL
YTD,ALL,Crime Type,FRAUD,Tuesday,18:00-23:59,152,ALL
YTD,ALL,Crime Type,FRAUD,Wednesday,00:00-05:59,83,ALL
